                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.74301,                0.65097,                 0.9794,                0.94616,                      1,                  0.995,                0.63501,                 1.2933,                0.65122,                 1.3137,             0.00088813,             0.00088813,             0.00088813
                    115,                0.81117,                0.64054,                 1.0636,                0.96109,                      1,                  0.995,                0.63046,                 1.3663,                0.67046,                 1.3546,             0.00088714,             0.00088714,             0.00088714
                    116,                0.48012,                0.93449,                0.63103,                0.96874,                0.99292,                  0.995,                0.65501,                 1.3342,                0.66735,                 1.3191,             0.00088615,             0.00088615,             0.00088615
                    117,                0.82819,                0.71143,                  1.088,                0.96874,                0.99292,                  0.995,                0.65501,                 1.3342,                0.66735,                 1.3191,             0.00088516,             0.00088516,             0.00088516
                    118,                0.53976,                 1.4498,                0.67917,                0.96719,                0.98753,                  0.995,                0.68003,                 1.2249,                0.64134,                 1.2284,             0.00088417,             0.00088417,             0.00088417
                    119,                0.67588,                0.61125,                0.98803,                0.97493,                  0.875,                   0.97,                0.71586,                 1.0715,                0.59775,                 1.1272,             0.00088318,             0.00088318,             0.00088318
                    120,                0.74291,                0.63743,                0.97483,                0.97042,                  0.875,                   0.97,                0.73463,                0.98657,                0.58438,                 1.0785,             0.00088219,             0.00088219,             0.00088219
                    121,                  0.476,                0.92901,                0.64203,                0.97042,                  0.875,                   0.97,                0.73463,                0.98657,                0.58438,                 1.0785,              0.0008812,              0.0008812,              0.0008812
                    122,                0.98005,                0.76943,                 1.0396,                0.95069,                  0.875,                   0.97,                 0.7586,                 0.9714,                0.61879,                 1.0633,             0.00088021,             0.00088021,             0.00088021
                    123,                0.75214,                0.69147,                0.99416,                0.93372,                0.87413,                   0.97,                0.74278,                 1.0386,                0.65695,                 1.0875,             0.00087922,             0.00087922,             0.00087922
                    124,                0.74058,                0.78664,                 1.0098,                 0.8964,                0.85857,                   0.97,                0.71397,                 1.1362,                0.66391,                 1.1277,             0.00087823,             0.00087823,             0.00087823
                    125,                0.62789,                0.61242,                0.95197,                 0.8964,                0.85857,                   0.97,                0.71397,                 1.1362,                0.66391,                 1.1277,             0.00087724,             0.00087724,             0.00087724
                    126,                 0.7394,                 0.6512,                0.89247,                0.90495,                0.85568,                   0.97,                0.70427,                 1.2241,                0.69288,                 1.1662,             0.00087625,             0.00087625,             0.00087625
                    127,                0.63583,                0.60268,                0.94571,                0.92332,                0.87106,                   0.97,                 0.6962,                 1.2822,                 0.7169,                 1.1966,             0.00087526,             0.00087526,             0.00087526
                    128,                0.65883,                0.80971,                0.93027,                0.90522,                  0.875,                   0.97,                0.66864,                 1.3341,                0.72229,                 1.2293,             0.00087427,             0.00087427,             0.00087427
                    129,                0.44976,                 0.8533,                0.64069,                0.90522,                  0.875,                   0.97,                0.66864,                 1.3341,                0.72229,                 1.2293,             0.00087328,             0.00087328,             0.00087328
                    130,                0.71284,                0.74279,                 1.0246,                0.86765,                  0.875,                   0.97,                0.68342,                 1.3441,                 0.7372,                 1.2309,             0.00087229,             0.00087229,             0.00087229
                    131,                0.78613,                0.85756,                 1.0146,                0.82432,                  0.875,                0.95333,                0.67407,                 1.3078,                0.76266,                 1.2141,              0.0008713,              0.0008713,              0.0008713
                    132,                0.74481,                0.67992,                 1.0263,                0.82414,                  0.875,                   0.97,                0.71099,                  1.207,                0.75275,                 1.1669,             0.00087031,             0.00087031,             0.00087031
                    133,                0.77264,                0.90615,                0.99349,                0.82414,                  0.875,                   0.97,                0.71099,                  1.207,                0.75275,                 1.1669,             0.00086932,             0.00086932,             0.00086932
